region,sex,value
Акмолинская,men,357492
Акмолинская,women,385340
Актюбинская,men,416632
Актюбинская,women,456764
Алматинская,men,1000873
Алматинская,women,1048163
Атырауская,men,308534
Атырауская,women,327252
Восточно-Казахстанская,men,655843
Восточно-Казахстанская,women,729798
Жамбылская,men,550724
Жамбылская,women,582354
Западно-Казахстанская,men,313573
Западно-Казахстанская,women,342353
Карагандинская,men,652324
Карагандинская,women,732584
Костанайская,men,414178
Костанайская,women,463287
Кызылординская,men,394954
Кызылординская,women,404079
Мангистауская,men,332518
Мангистауская,women,348712
Павлодарская,men,830438
Павлодарская,women,402259
Республика Казахстан,men,8833485
Республика Казахстан,women,9641063
Северо-Казахстанская,men,293800
Северо-Казахстанская,women,293156
Туркестанская,men,666258
Туркестанская,women,998369
город Алматы,men,834779
город Алматы,women,1022150
город Астана,men,505523
город Астана,women,569481
город Шымкент,men,484573
город Шымкент,women,524513
